Model Name,ML Task,Is Training,Operation,Input Dims,Input Type
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::sub,"[[3, 800, 1099], [3, 1, 1], []]","['unsigned char', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::div,"[[3, 800, 1099], [3, 1, 1]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add,"[[2], [], []]","['long int', 'long int', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::div,"[[2], [], []]","['long int', 'long int', '']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::mul,"[[2], []]","['long int', 'long int']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::norm,"[[1, 768], [], [], []]","['float', 'Scalar', '', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::clamp_min,"[[1, 1], []]","['float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::div,"[[1, 768], [1, 768]]","['float', 'float']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 3, 800, 1120], [192, 3, 4, 4], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::add_,"[[1, 192, 200, 280], [1, 192, 1, 1], []]","['float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::native_layer_norm,"[[1, 200, 280, 192], [], [192], [192], []]","['float', '', 'float', 'float', 'Scalar']"
MAFT-Plus Custom,Open-Vocabulary Panoptic Segmentation,False,aten::cudnn_convolution,"[[1, 192, 200, 280], [192, 1, 7, 7], [], [], [], [], [], [], []]","['float', 'float', '', '', '', 'Scalar', 'Scalar', 'Scalar', 'Scalar']"
